Agency,Location,PrimaryBias,OffenseType,Year
BLUE SPRINGS,"Blue Spring, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2010
BOLIVAR,"Bolivar, MO"," Anti-Multiple Religions, Group",Intimidation,2010
BRIDGETON,"Bridgeton, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2010
BYRNES MILL,"Byrnes Mill, MO",Anti-White,Simple Assault,2010
BYRNES MILL,"Byrnes Mill, MO",Anti-White,Simple Assault,2010
CANTON,"Canton, MO", Anti-Islamic (Muslim),Intimidation,2010
CAPE GIRARDEAU,"Cape Girardeau, MO",Anti-Black or African American,Aggravated Assault,2010
COLUMBIA,"Columbia, MO",Anti-Black or African American,Aggravated Assault,2010
COLUMBIA,"Columbia, MO", Anti-Gay (Male) ,Simple Assault,2010
COLUMBIA,"Columbia, MO",Anti-Asian,Destruction/ Damage/Vandalism,2010
FRANKLIN CO - RURAL,"Franklin County, MO", Anti-Protestant,Destruction/ Damage/Vandalism,2010
INDEPENDENCE,"Independence, MO", Anti-Jewish,Destruction/ Damage/Vandalism,2010
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2010
INDEPENDENCE,"Independence, MO", Anti-Gay (Male) ,Aggravated Assault,2010
INDEPENDENCE,"Independence, MO", Anti-Hispanic or Latino,Aggravated Assault,2010
JEFFERSON CO - RURAL,"Jefferson County, MO",Anti-Black or African American,Intimidation,2010
JEFFERSON CO - RURAL,"Jefferson County, MO",Anti-Black or African American,Aggravated Assault,2010
JEFFERSON CO - RURAL,"Jefferson County, MO",Anti-Black or African American,Intimidation,2010
JEFFERSON CO - RURAL,"Jefferson County, MO",Anti-Black or African American,Aggravated Assault,2010
JOPLIN,"Joplin, MO", Anti-Other Race/Ethnicity/Ancestry,Aggravated Assault,2010
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Simple Assault,2010
KANSAS CITY,"Kansas City, MO",Anti-White,Aggravated Assault,2010
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Motor Vehicle Theft,2010
KANSAS CITY,"Kansas City, MO",Anti-White,Intimidation,2010
KANSAS CITY,"Kansas City, MO", Anti-Islamic (Muslim),Aggravated Assault,2010
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Simple Assault,2010
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Larceny - Theft,2010
KANSAS CITY,"Kansas City, MO", Anti-Other Race/Ethnicity/Ancestry,Simple Assault,2010
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Intimidation,2010
KANSAS CITY,"Kansas City, MO",Anti-White,Simple Assault,2010
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Aggravated Assault,2010
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Simple Assault,2010
KANSAS CITY,"Kansas City, MO", Anti-Islamic (Muslim),Simple Assault,2010
KANSAS CITY,"Kansas City, MO",Anti-White,Simple Assault,2010
KANSAS CITY,"Kansas City, MO", Anti-Lesbian,Intimidation,2010
KANSAS CITY,"Kansas City, MO", Anti-Other Race/Ethnicity/Ancestry,Intimidation,2010
KANSAS CITY,"Kansas City, MO", Anti-Hispanic or Latino,Simple Assault,2010
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Intimidation,2010
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Intimidation,2010
KANSAS CITY,"Kansas City, MO",Anti-White,Aggravated Assault,2010
KANSAS CITY,"Kansas City, MO", Anti-Hispanic or Latino,Aggravated Assault,2010
KANSAS CITY,"Kansas City, MO",Anti-White,Destruction/ Damage/Vandalism,2010
