Agency,Location,PimaryBias,OffenseType,Year
AUDRAIN CO - RURAL,"Audrain County, MO", Anti-Gay (Male) ,Simple Assault,2013
BELTON,"Belton, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2013
BLUE SPRINGS,"Blue Springs, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2013
BRANSON,"Branson, MO", Anti-Hispanic or Latino,Aggravated Assault,2013
CARROLL CO - RURAL,"Carroll County, MO", Anti-Other Religion,Destruction/ Damage/Vandalism,2013
CLAYTON,"Clayton, MO", Anti-Jewish,Destruction/ Damage/Vandalism,2013
DEKALB CO - RURAL,"Dekalb County, MO",Anti-Black or African American,Intimidation,2013
GRANDVIEW,"Grandview, MO",Anti-Black or African American,Intimidation,2013
HENRY CO - RURAL,"Henry County, MO", Anti-Gay (Male) ,Simple Assault,2013
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Aggravated Assault,2013
INDEPENDENCE,"Independence, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Destruction/ Damage/Vandalism,2013
JEFFERSON CO - RURAL,"Jefferson County, MO", Anti-Gay (Male) ,Burglary,2013
JOPLIN,"Joplin,  MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2013
JOPLIN,"Joplin,  MO",Anti-Black or African American,Simple Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Transgender,Burglary,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Burglary,2013
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Burglary,2013
KANSAS CITY,"Kansas City, MO", Anti-Gender Non-Conforming,Larceny - Theft,2013
KANSAS CITY,"Kansas City, MO",Anti-Mental Disability,Motor Vehicle Theft,2013
KANSAS CITY,"Kansas City, MO",Anti-White,Burglary,2013
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Aggravated Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Burglary,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2013
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Aggravated Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Lesbian,Simple Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Aggravated Assault,2013
KANSAS CITY,"Kansas City, MO"," Anti-Multiple Religions, Group",Destruction/ Damage/Vandalism,2013
KANSAS CITY,"Kansas City, MO", Anti-Hispanic or Latino,Simple Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Simple Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Other Religion,Simple Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Islamic (Muslim),Destruction/ Damage/Vandalism,2013
KANSAS CITY,"Kansas City, MO",Anti-White,Simple Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Aggravated Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Other Religion,Destruction/ Damage/Vandalism,2013
KANSAS CITY,"Kansas City, MO",Anti-American Indian or Alaskan Native,Motor Vehicle Theft,2013
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Simple Assault,2013
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Aggravated Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Simple Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Female,Simple Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Hispanic or Latino,Aggravated Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Islamic (Muslim),Destruction/ Damage/Vandalism,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2013
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Simple Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Male,Larceny - Theft,2013
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Intimidation,2013
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Robbery,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Larceny - Theft,2013
KANSAS CITY,"Kansas City, MO", Anti-Hispanic or Latino,Simple Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Simple Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-White,Simple Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Aggravated Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-White,Intimidation,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Simple Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Simple Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-White,Simple Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-White,Simple Assault,2013
KANSAS CITY,"Kansas City, MO", Anti-Male,Motor Vehicle Theft,2013
KANSAS CITY,"Kansas City, MO", Anti-Islamic (Muslim),Aggravated Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Robbery,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Simple Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Aggravated Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Aggravated Assault,2013
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Robbery,2013
KANSAS CITY,"Kansas City, MO", Anti-Female,Rape,2013
KANSAS CITY,"Kansas City, MO",Anti-White,Murder,2013
KANSAS CITY,"Kansas City, MO", Anti-Lesbian,Aggravated Assault,2013
KANSAS CITY,"Kansas City, MO",Anti-White,Larceny - Theft,2013
KANSAS CITY,"Kansas City, MO", Anti-Hispanic or Latino,Destruction/ Damage/Vandalism,2013
KANSAS CITY,"Kansas City, MO",Anti-White,Destruction/ Damage/Vandalism,2013
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Intimidation,2013
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Destruction/ Damage/Vandalism,2013
RAYTOWN,"Raytown, MO",Anti-Black or African American,Simple Assault,2013
SPRINGFIELD,"Springfield, MO", Anti-Lesbian,Simple Assault,2013
