Agency,Location,PrimaryBia,OffenseType,Year
BOLIVAR,"Bolivar, MO",Anti-Black or African American,Burglary,2014
COLUMBIA,"Columbia, MO",Anti-Black or African American,Intimidation,2014
CREVE COEUR,"Creve Coeur, MO", Anti-Gay (Male) ,Destruction/ Damage/Vandalism,2014
GRAIN VALLEY,"Grain Valley, MO", Anti-Catholic,Destruction/ Damage/Vandalism,2014
GRANDVIEW,"Grandview, MO", Anti-Hispanic or Latino,Destruction/ Damage/Vandalism,2014
HAZELWOOD,"Hazelwood, MO",Anti-Black or African American,Intimidation,2014
HENRY CO - RURAL,"Henry County, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Destruction/ Damage/Vandalism,2014
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Aggravated Assault,2014
INDEPENDENCE,"Independence, MO", Anti-Jewish,Destruction/ Damage/Vandalism,2014
INDEPENDENCE,"independence, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2014
JENNINGS,"Jennings, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2014
JENNINGS,"Jennings, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2014
JENNINGS,"Jennings, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2014
JENNINGS,"Jennings, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2014
JENNINGS,"Jennings, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2014
JOPLIN,"Joplin, MO",Anti-Mental Disability,Burglary,2014
KANSAS CITY,"Kansas City, MO",Anti-White,Intimidation,2014
KANSAS CITY,"Kansas City, MO", Anti-Jewish,Intimidation,2014
KANSAS CITY,"Kansas City, MO",Anti-White,Aggravated Assault,2014
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Simple Assault,2014
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Robbery,2014
KANSAS CITY,"Kansas City, MO",Anti-White,Simple Assault,2014
KANSAS CITY,"Kansas City, MO", Anti-Hispanic or Latino,Simple Assault,2014
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Aggravated Assault,2014
